date,status,diary
2019-01-01,civilian,
2019-01-02,civilian,
2019-01-03,civilian,
2019-01-04,civilian,
2019-01-05,civilian,
2019-01-06,civilian,
2019-01-07,civilian,
2019-01-08,civilian,
2019-01-09,civilian,
2019-01-10,civilian,
2019-01-11,civilian,
2019-01-12,civilian,
2019-01-13,civilian,
2019-01-14,civilian,
2019-01-15,civilian,
2019-01-16,civilian,
2019-01-17,civilian,
2019-01-18,civilian,
2019-01-19,civilian,
2019-01-20,civilian,
2019-01-21,bootcamp,입대
2019-01-22,bootcamp,
2019-01-23,bootcamp,
2019-01-24,bootcamp,
2019-01-25,bootcamp,
2019-01-26,bootcamp,
2019-01-27,bootcamp,
2019-01-28,bootcamp,
2019-01-29,bootcamp,
2019-01-30,bootcamp,
2019-01-31,bootcamp,
2019-02-01,bootcamp,
2019-02-02,bootcamp,
2019-02-03,bootcamp,
2019-02-04,bootcamp,
2019-02-05,bootcamp,
2019-02-06,bootcamp,
2019-02-07,bootcamp,
2019-02-08,bootcamp,
2019-02-09,bootcamp,
2019-02-10,bootcamp,
2019-02-11,bootcamp,
2019-02-12,bootcamp,
2019-02-13,bootcamp,
2019-02-14,bootcamp,
2019-02-15,bootcamp,
2019-02-16,bootcamp,
2019-02-17,bootcamp,
2019-02-18,bootcamp,
2019-02-19,bootcamp,
2019-02-20,bootcamp,
2019-02-21,bootcamp,
2019-02-22,bootcamp,
2019-02-23,bootcamp,
2019-02-24,bootcamp,
2019-02-25,bootcamp,
2019-02-26,bootcamp,
2019-02-27,bootcamp,
2019-02-28,kta,
2019-03-01,kta,
2019-03-02,kta,
2019-03-03,kta,
2019-03-04,kta,
2019-03-05,kta,
2019-03-06,kta,
2019-03-07,kta,
2019-03-08,kta,
2019-03-09,kta,
2019-03-10,kta,
2019-03-11,kta,
2019-03-12,kta,
2019-03-13,kta,
2019-03-14,kta,
2019-03-15,kta,
2019-03-16,kta,
2019-03-17,kta,
2019-03-18,kta,
2019-03-19,kta,
2019-03-20,kta,
2019-03-21,workday,
2019-03-22,workday,
2019-03-23,workday,
2019-03-24,workday,
2019-03-25,workday,
2019-03-26,workday,
2019-03-27,workday,
2019-03-28,workday,
2019-03-29,workday,
2019-03-30,workday,
2019-03-31,workday,
2019-04-01,workday,
2019-04-02,workday,
2019-04-03,workday,
2019-04-04,workday,
2019-04-05,pass,
2019-04-06,pass,
2019-04-07,pass,
2019-04-08,pass,이성민 전역
2019-04-09,workday,
2019-04-10,workday,
2019-04-11,workday,
2019-04-12,workday,
2019-04-13,pass,
2019-04-14,pass,
2019-04-15,workday,
2019-04-16,workday,
2019-04-17,workday,
2019-04-18,workday,
2019-04-19,workday,
2019-04-20,pass,
2019-04-21,pass,
2019-04-22,workday,
2019-04-23,workday,
2019-04-24,workday,
2019-04-25,workday,
2019-04-26,workday,
2019-04-27,pass,
2019-04-28,pass,
2019-04-29,pass,
2019-04-30,pass,
2019-05-01,dayoff,
2019-05-02,dayoff,
2019-05-03,pass,
2019-05-04,pass,
2019-05-05,pass,
2019-05-06,pass,
2019-05-07,workday,
2019-05-08,workday,
2019-05-09,workday,
2019-05-10,workday,
2019-05-11,pass,
2019-05-12,pass,
2019-05-13,pass,
2019-05-14,workday,
2019-05-15,workday,
2019-05-16,workday,
2019-05-17,workday,
2019-05-18,pass,
2019-05-19,pass,
2019-05-20,workday,
2019-05-21,workday,
2019-05-22,workday,
2019-05-23,workday,이성규, 엄기윤 전역
2019-05-24,pass,
2019-05-25,pass,
2019-05-26,pass,
2019-05-27,pass,
2019-05-28,workday,
2019-05-29,workday,
2019-05-30,workday,
2019-05-31,workday,
2019-06-01,pass,
2019-06-02,pass,
2019-06-03,workday,
2019-06-04,workday,
2019-06-05,workday,
2019-06-06,staff-duty,첫 당직.
2019-06-07,dayoff,군화 구매. Danners Tanicus..
2019-06-08,staff-duty,첫 주말당직.
2019-06-09,staff-duty,심심해서 죽을 것 같았던 주말 당직. 이제 군생활에 주말 당직은 한번 남았거나, 더 이상 없거나. 후자이길 빈다..ㅠ
2019-06-10,dayoff,군화 환불ㅠㅠㅠ 너무 더운것같아서.. 근데 화장실 가서 바닥 닦아오라 그랬다ㅠㅠ
2019-06-11,workday,
2019-06-12,workday,
2019-06-13,workday,
2019-06-14,workday,
2019-06-15,pass,
2019-06-16,pass,
2019-06-17,pass,
2019-06-18,workday,
2019-06-19,workday,
2019-06-20,workday,
2019-06-21,workday,
2019-06-22,pass,
2019-06-23,pass,
2019-06-24,dayoff,
2019-06-25,dayoff,
2019-06-26,dayoff,
2019-06-27,workday,
2019-06-28,workday,
2019-06-29,pass,
2019-06-30,pass,
2019-07-01,workday,
2019-07-02,workday,
2019-07-03,workday,
2019-07-04,pass,
2019-07-05,pass,
2019-07-06,pass,
2019-07-07,pass,
2019-07-08,leave,
2019-07-09,leave,
2019-07-10,leave,
2019-07-11,leave,
2019-07-12,leave,
2019-07-13,leave,
2019-07-14,leave,
2019-07-15,leave,
2019-07-16,leave,
2019-07-17,workday,
2019-07-18,workday,
2019-07-19,workday,
2019-07-20,pass,
2019-07-21,pass,
2019-07-22,workday,
2019-07-23,workday,
2019-07-24,workday,
2019-07-25,workday,
2019-07-26,workday,
2019-07-27,pass,
2019-07-28,pass,
2019-07-29,workday,
2019-07-30,workday,
2019-07-31,workday,
2019-08-01,workday,
2019-08-02,workday,
2019-08-03,pass,
2019-08-04,pass,
2019-08-05,workday,
2019-08-06,workday,
2019-08-07,workday,
2019-08-08,workday,
2019-08-09,workday,
2019-08-10,pass,
2019-08-11,pass,
2019-08-12,workday,
2019-08-13,workday,
2019-08-14,workday,
2019-08-15,workday,
2019-08-16,staff-duty,
2019-08-17,pass,
2019-08-18,pass,
2019-08-19,workday,
2019-08-20,workday,
2019-08-21,workday,
2019-08-22,workday,
2019-08-23,workday,
2019-08-24,pass,
2019-08-25,pass,
2019-08-26,workday,
2019-08-27,workday,
2019-08-28,workday,
2019-08-29,workday,
2019-08-30,workday,박재한 전역
2019-08-31,pass,Lake, Wolf와 부산 여행. 영도 구경
2019-09-01,pass,송도 구경
2019-09-02,pass,마이티 애들이랑 유성문화원 근처에 파티룸 빌려서 트레이더스 음식 먹고 술마시고 논 날
2019-09-03,pass, 토미야 먹고 부대 돌아감
2019-09-04,workday,
2019-09-05,workday,
2019-09-06,workday,
2019-09-07,pass,
2019-09-08,pass,
2019-09-09,pass,
2019-09-10,workday,
2019-09-11,workday,
2019-09-12,pass,
2019-09-13,pass,
2019-09-14,pass,
2019-09-15,pass,
2019-09-16,workday,
2019-09-17,workday,
2019-09-18,workday,
2019-09-19,workday,
2019-09-20,workday,
2019-09-21,dayoff,
2019-09-22,dayoff,
2019-09-23,workday,
2019-09-24,workday,
2019-09-25,workday,
2019-09-26,workday,
2019-09-27,workday,
2019-09-28,pass,
2019-09-29,pass,
2019-09-30,workday,김동율 전역
2019-10-01,workday,
2019-10-02,workday,
2019-10-03,workday,Spur Ride
2019-10-04,dayoff,
2019-10-05,dayoff,
2019-10-06,dayoff,
2019-10-07,workday,
2019-10-08,workday,
2019-10-09,workday,
2019-10-10,workday,
2019-10-11,pass,
2019-10-12,pass,
2019-10-13,pass,
2019-10-14,pass,
2019-10-15,workday,
2019-10-16,staff-duty,CQ
2019-10-17,workday,
2019-10-18,pass,
2019-10-19,pass,
2019-10-20,pass,
2019-10-21,workday,
2019-10-22,workday,
2019-10-23,workday,
2019-10-24,workday,
2019-10-25,pass,
2019-10-26,pass,정지용 전역
2019-10-27,pass,
2019-10-28,workday,
2019-10-29,workday,
2019-10-30,workday,
2019-10-31,workday,
2019-11-01,workday,
2019-11-02,pass,
2019-11-03,pass,
2019-11-04,workday,
2019-11-05,workday,
2019-11-06,workday,
2019-11-07,workday,
2019-11-08,workday,
2019-11-09,pass,
2019-11-10,pass,
2019-11-11,workday,
2019-11-12,workday,
2019-11-13,workday,
2019-11-14,workday,
2019-11-15,workday,
2019-11-16,pass,
2019-11-17,pass,
2019-11-18,workday,최혁주 전역
2019-11-19,workday,
2019-11-20,workday,
2019-11-21,workday,
2019-11-22,pass,
2019-11-23,pass,김기범, 정찬우 전역
2019-11-24,pass,
2019-11-25,pass,
2019-11-26,workday,
2019-11-27,workday,
2019-11-28,pass,
2019-11-29,pass,
2019-11-30,pass,
2019-12-01,pass,
2019-12-02,workday,
2019-12-03,staff-duty,
2019-12-04,dayoff,
2019-12-05,workday,cabinet을 connex로 옮기는 중 Lake에게 warehouse에서 일해봤어? 라는 말을 들었다.
2019-12-06,workday,
2019-12-07,pass,
2019-12-08,pass,
2019-12-09,workday,Dead kitten\n\n오늘은 COF (중대작전본부) 앞에서 죽은 고양이를 봤다. 몸 크기로 봐서 아직 새끼였다.\n아직 살아있을지도 모른다는 생각에 가슴에 손을 갖다 댔다. 한번도 느껴본 적 없는 사체의 차가움.\n맥박이 느껴지지 않았다. 일하러 돌아가야 했다.\n\n잠시 일이 없을 때 나와서 선임 한 명 후임 한 명과 함께 자갈밭에 옮겨 묻어줬다.\n\n부디 그의 삶이 의미있는 것이었길. 내가 그의 삶을, 그의 말로를 기억해서 그의 죽음에 조금의 위안이 될 수 있길.\n\n기억할게.
2019-12-10,workday,
2019-12-11,workday,
2019-12-12,workday,
2019-12-13,workday,
2019-12-14,pass,
2019-12-15,pass,
2019-12-16,pass,
2019-12-17,staff-duty,
2019-12-18,dayoff,
2019-12-19,workday,
2019-12-20,pass,
2019-12-21,pass,
2019-12-22,pass,
2019-12-23,workday,halfday. LT Sevilla가 Potluck에 가져갈 맘스터치 심부름 시킴ㅋㅋㅋ
2019-12-24,pass,
2019-12-25,pass,
2019-12-26,pass,
2019-12-27,future,
2019-12-28,pass,
2019-12-29,pass,
2019-12-30,future,
2019-12-31,pass,
2020-01-01,pass,
2020-01-02,pass,
2020-01-03,future,
2020-01-04,pass,
2020-01-05,pass,
2020-01-06,future,
2020-01-07,future,
2020-01-08,future,
2020-01-09,future,
2020-01-10,future,
2020-01-11,pass,
2020-01-12,pass,
2020-01-13,future,
2020-01-14,future,
2020-01-15,future,
2020-01-16,future,
2020-01-17,pass,
2020-01-18,pass,
2020-01-19,pass,
2020-01-20,pass,
2020-01-21,future,
2020-01-22,future,
2020-01-23,future,
2020-01-24,pass,
2020-01-25,pass,
2020-01-26,pass,
2020-01-27,pass,
2020-01-28,future,
2020-01-29,future,
2020-01-30,future,
2020-01-31,future,
2020-02-01,pass,
2020-02-02,pass,
2020-02-03,pass,
2020-02-04,future,
2020-02-05,future,
2020-02-06,future,
2020-02-07,future,
2020-02-08,pass,
2020-02-09,pass,
2020-02-10,future,
2020-02-11,future,
2020-02-12,future,
2020-02-13,future,
2020-02-14,pass,
2020-02-15,pass,
2020-02-16,pass,
2020-02-17,pass,
2020-02-18,future,
2020-02-19,future,
2020-02-20,future,
2020-02-21,future,
2020-02-22,pass,
2020-02-23,pass,
2020-02-24,future,
2020-02-25,future,
2020-02-26,future,
2020-02-27,future,
2020-02-28,future,
2020-02-29,pass,
2020-03-01,pass,
2020-03-02,future,
2020-03-03,future,
2020-03-04,future,
2020-03-05,future,
2020-03-06,future,최수환 전역
2020-03-07,pass,
2020-03-08,pass,
2020-03-09,future,
2020-03-10,future,
2020-03-11,future,
2020-03-12,future,
2020-03-13,future,
2020-03-14,pass,
2020-03-15,pass,
2020-03-16,future,
2020-03-17,future,
2020-03-18,future,
2020-03-19,future,
2020-03-20,future,
2020-03-21,pass,
2020-03-22,pass,
2020-03-23,future,
2020-03-24,future,
2020-03-25,future,
2020-03-26,future,
2020-03-27,pass,
2020-03-28,pass,
2020-03-29,pass,
2020-03-30,pass,
2020-03-31,future,
2020-04-01,future,
2020-04-02,future,
2020-04-03,future,
2020-04-04,pass,
2020-04-05,pass,
2020-04-06,future,
2020-04-07,future,
2020-04-08,future,
2020-04-09,future,
2020-04-10,future,
2020-04-11,pass,
2020-04-12,pass,
2020-04-13,future,
2020-04-14,dayoff,
2020-04-15,future,
2020-04-16,future,
2020-04-17,future,
2020-04-18,pass,
2020-04-19,pass,
2020-04-20,future,
2020-04-21,future,
2020-04-22,future,
2020-04-23,future,
2020-04-24,future,
2020-04-25,pass,
2020-04-26,pass,
2020-04-27,future,
2020-04-28,future,
2020-04-29,future,
2020-04-30,pass,
2020-05-01,future,
2020-05-02,pass,
2020-05-03,pass,
2020-05-04,leave,
2020-05-05,leave,
2020-05-06,leave,
2020-05-07,leave,
2020-05-08,future,
2020-05-09,pass,
2020-05-10,pass,
2020-05-11,future,
2020-05-12,future,
2020-05-13,future,
2020-05-14,future,
2020-05-15,future,
2020-05-16,pass,
2020-05-17,pass,
2020-05-18,future,
2020-05-19,future,
2020-05-20,future,
2020-05-21,future,
2020-05-22,pass,최영훈 전역
2020-05-23,pass,
2020-05-24,pass,
2020-05-25,pass,
2020-05-26,future,
2020-05-27,future,
2020-05-28,future,
2020-05-29,future,
2020-05-30,pass,
2020-05-31,pass,
2020-06-01,future,
2020-06-02,future,
2020-06-03,future,
2020-06-04,future,
2020-06-05,future,
2020-06-06,pass,
2020-06-07,pass,
2020-06-08,future,
2020-06-09,future,
2020-06-10,future,
2020-06-11,future,
2020-06-12,future,
2020-06-13,pass,
2020-06-14,pass,
2020-06-15,future,
2020-06-16,future,
2020-06-17,future,
2020-06-18,future,
2020-06-19,future,
2020-06-20,pass,
2020-06-21,pass,
2020-06-22,leave,
2020-06-23,leave,
2020-06-24,future,
2020-06-25,future,
2020-06-26,future,
2020-06-27,pass,
2020-06-28,pass,
2020-06-29,leave,
2020-06-30,leave,
2020-07-01,future,
2020-07-02,future,
2020-07-03,pass,
2020-07-04,pass,
2020-07-05,pass,
2020-07-06,pass,
2020-07-07,leave,
2020-07-08,leave,
2020-07-09,future,
2020-07-10,future,
2020-07-11,pass,
2020-07-12,pass,
2020-07-13,leave,
2020-07-14,leave,
2020-07-15,future,
2020-07-16,future,
2020-07-17,future,
2020-07-18,pass,
2020-07-19,pass,
2020-07-20,leave,
2020-07-21,leave,
2020-07-22,future,
2020-07-23,future,
2020-07-24,future,
2020-07-25,pass,
2020-07-26,pass,
2020-07-27,leave,
2020-07-28,leave,
2020-07-29,leave,
2020-07-30,future,
2020-07-31,future,
2020-08-01,pass,
2020-08-02,pass,백인호 전역
2020-08-03,leave,
2020-08-04,leave,
2020-08-05,leave,
2020-08-06,future,
2020-08-07,future,
2020-08-08,pass,
2020-08-09,pass,
2020-08-10,leave,
2020-08-11,leave,
2020-08-12,leave,
2020-08-13,future,
2020-08-14,future,
2020-08-15,pass,
2020-08-16,pass,
2020-08-17,future,
2020-08-18,future,
2020-08-19,future,
2020-08-20,future,
2020-08-21,future,
2020-08-22,pass,
2020-08-23,pass,
2020-08-24,future,
2020-08-25,future,
2020-08-26,future,
2020-08-27,future,전역
2020-08-28,civilian,
2020-08-29,civilian,
2020-08-30,civilian,
2020-08-31,civilian,
